,a,b,c
0,-0.7963562,-1.3572693,1.5252686
1,-0.73638916,-1.3139343,1.330719
2,-0.7270813,-1.4387512,1.3529968
3,-0.91949463,-1.3841248,1.3946533
4,-0.84136963,-1.5631104,1.3305664
5,-0.68969727,-1.4892578,1.2890625
6,-0.67550659,-1.4579773,1.4044189
7,-0.70220947,-1.4434814,1.3494873
8,-0.8517456,-1.4176941,1.3789368
9,-0.73547363,-1.3130188,1.4039612
10,-0.79299927,-1.4630127,1.3288879
11,-0.55908203,-1.3243103,1.2652588
12,-0.45425415,-1.3937378,1.2969971
13,-0.58837891,-1.6091919,1.3502502
14,-0.62591553,-1.5821838,1.0919189
15,-0.61523438,-1.7483521,1.1262512
16,-0.47302246,-1.7323303,1.2080383
17,-0.54077148,-1.7938232,1.2670898
18,-0.4234314,-1.4712524,1.2841797
19,-0.21392822,-1.5353394,1.2269592
20,-0.45440674,-1.5153503,1.0400391
21,-0.26229858,-1.5625,1.2361145
22,-0.31463623,-1.546936,1.2641907
23,-0.36026001,-1.6717529,1.1090088
24,-0.31707764,-1.700592,1.2071228
25,-0.29541016,-1.5441895,1.1755371
26,-0.18508911,-1.5753174,1.2928772
27,-0.20736694,-1.7088318,1.2130737
28,-0.25192261,-1.804657,1.1431885
29,-0.040893555,-1.8400574,1.0412598
30,-0.21408081,-1.763916,1.177063
31,-0.089111328,-1.7181396,1.0826111
32,-0.020599365,-1.661377,1.0261536
33,0.05355835,-1.7552185,1.0137939
34,-0.009460449,-1.6387939,0.81604004
35,0.024261475,-1.77948,1.0534668
36,-0.074462891,-1.6453552,0.93566894
37,0.035858154,-1.5365601,0.93948364
38,0.029449463,-1.7007446,0.89172363
39,0.002441406,-1.5087891,0.90042114
40,0.23330688,-1.5290833,0.9425354
41,0.21453857,-1.5934753,0.79818726
42,0.16326904,-1.5597534,0.82565308
43,0.22003174,-1.59729,0.728302
44,0.23406982,-1.5852356,0.69534302
45,0.30181885,-1.5855408,0.61584473
46,0.33340454,-1.6590881,0.62515259
