,a,b,c
0,-0.87097168,0.83404541,-5.0
1,-0.96862793,0.76522827,-5.0
2,-1.0575867,0.74707031,-3.5874939
3,-1.0404968,0.77484131,-2.1492004
4,-1.0977173,0.79742432,-1.1827087
5,-1.2039185,0.67077637,-0.58288574
6,-1.1477661,0.70495606,-0.1600647
7,-1.1204529,0.76370239,0.15258789
8,-1.1758423,0.72219849,0.34942627
9,-1.2197876,0.69580078,0.46600342
10,-1.3052368,0.64636231,0.52368164
11,-1.2516785,0.6628418,0.59005737
12,-1.2924194,0.68695068,0.62362671
13,-1.2965393,0.71746826,0.6564331
14,-1.257019,0.71807861,0.68008423
15,-1.3796997,0.58151245,0.65185547
16,-1.3562012,0.55541992,0.71914673
17,-1.385498,0.53344727,0.57373047
18,-1.4335632,0.5557251,0.77407837
19,-1.4619446,0.4826355,0.48782349
20,-1.4892578,0.38375855,0.46478272
21,-1.4225769,0.42114258,0.44082642
22,-1.7114258,0.31097412,0.63674927
23,-1.6293335,0.3263855,0.31295776
24,-1.4285278,0.33111572,0.28442383
25,-1.5319824,0.25634766,0.27160644
26,-1.4727783,0.21728516,0.25207519
27,-1.5446472,0.21255493,0.23117065
28,-1.5112305,0.29815674,0.21667481
29,-1.6751099,0.052337646,0.13687134
30,-1.6464233,0.069274902,0.097351074
31,-1.6339111,-0.045776367,0.065917969
32,-1.6363525,-0.081176758,0.014648438
33,-1.5380859,-0.15884399,-0.046081543
34,-1.5837097,-0.27770996,0.002746582
35,-1.566925,-0.11749268,-0.18569946
36,-1.6108704,-0.10772705,-0.11199951
37,-1.555481,-0.33386231,-0.2217102
38,-1.5162659,-0.23544312,-0.19104004
39,-1.6043091,-0.32836914,-0.23849487
40,-1.605835,-0.40405273,-0.28045654
41,-1.5744019,-0.38833618,-0.29846191
42,-1.6273499,-0.3237915,-0.30761719
43,-1.6009521,-0.48583984,-0.38223267
44,-1.5531921,-0.60974121,-0.2998352
45,-1.4271545,-0.60760498,-0.52078247
46,-1.4433289,-0.65383911,-0.41503906
47,-1.4065552,-0.66375732,-0.79376221
48,-1.340332,-0.70083618,-0.73226929
49,-1.3945007,-0.8543396,-0.74401856
50,-1.2942505,-0.82015991,-0.74295044
51,-1.1863709,-0.83480835,-0.77575684
52,-1.2249756,-0.91400147,-0.81619263
53,-1.1871338,-0.95046997,-0.84716797
54,-1.1984253,-0.9828186,-0.89401245
55,-1.0897827,-0.98724365,-0.94848633
56,-1.0993958,-1.0470581,-1.035614
57,-1.09375,-1.2042236,-1.1235046
58,-0.98922729,-1.1933899,-1.1634827
59,-0.86975098,-1.2275696,-1.1860657
60,-0.89172363,-1.290741,-1.2338257
61,-0.80566406,-1.2129211,-1.2341309
62,-0.86105347,-1.3539124,-1.2869263
63,-0.75973511,-1.353302,-1.3110352
64,-0.78399658,-1.4189148,-1.3632202
65,-0.69168091,-1.3461304,-1.3641357
66,-0.60348511,-1.3261414,-1.3597107
67,-0.63583374,-1.4448547,-1.3996887
68,-0.55908203,-1.423645,-1.4247131
69,-0.50415039,-1.4691162,-1.4489746
70,-0.39932251,-1.4671326,-1.4952087
71,-0.41381836,-1.5359497,-1.5032959
72,-0.44448853,-1.4678955,-1.3284302
73,-0.33218384,-1.5438843,-1.5887451
74,-0.34301758,-1.6186523,-1.6046143
75,-0.24658203,-1.6601563,-1.6777039
76,-0.19165039,-1.5690613,-1.6708374
77,-0.13000488,-1.6816711,-1.6966248
78,-0.18630981,-1.6769409,-1.5284729
79,-0.035705566,-1.7349243,-1.7597961
80,0.072784424,-1.6773987,-1.7318726
81,0.075378418,-1.7486572,-1.7419434
82,0.1574707,-1.7466736,-1.7382813
83,0.095214844,-1.7063904,-1.7393494
84,0.22842407,-1.8421936,-1.7779541
85,0.21255493,-1.8768311,-1.8141174
86,0.24612427,-1.7025757,-1.7671204
87,0.26824951,-1.829834,-1.7849731
88,0.39428711,-1.693573,-1.7454529
89,0.33020019,-1.7744446,-1.7550659
90,0.37841797,-1.7315674,-1.7314148
91,0.38162231,-1.7071533,-1.7167664
92,0.4423523,-1.7811584,-1.7224121
93,0.46051025,-1.4836121,-1.6932678
94,0.5392456,-1.6352844,-1.6387939
95,0.52001953,-1.645813,-1.4718628
96,0.55999756,-1.6438293,-1.6766357
97,0.55923462,-1.7121887,-1.6633606
98,0.65109253,-1.6291809,-1.6133118
99,0.62942505,-1.5905762,-1.4208984
100,0.55633545,-1.6648865,-1.6523743
101,0.59585571,-1.5426636,-1.4044189
102,0.71624756,-1.579895,-1.4717102
103,0.75561523,-1.4901733,-1.3957214
104,0.74172974,-1.4344788,-1.6104126
105,0.76065063,-1.4472961,-1.5748596
106,0.67764282,-1.5092468,-1.5374756
107,0.79559326,-1.4479065,-1.4759827
108,0.78292847,-1.3157654,-1.395874
109,0.77163696,-1.1853027,-1.3092041
110,0.76309204,-1.2197876,-1.2823486
111,0.72998047,-1.2339783,-1.2355041
112,0.69580078,-1.1531067,-1.2158203
113,0.80490112,-1.0321045,-1.1357117
114,0.79223633,-0.91506958,-1.0542297
115,0.75988769,-0.99792481,-1.0327148
116,0.77438354,-0.86303711,-0.97686768
117,0.71533203,-0.99792481,-0.98617554
118,0.74035644,-0.92025757,-0.95031738
119,0.76248169,-0.86105347,-0.92193603
120,0.77392578,-0.79238892,-0.87097168
121,0.67901611,-0.78369141,-0.83190918
122,0.72265625,-0.67596435,-0.77224731
123,0.67550659,-0.58044434,-0.69061279
124,0.66299438,-0.58441162,-0.59936523
125,0.67718506,-0.50811768,-0.6086731
126,0.62988281,-0.4977417,-0.57922363
127,0.62606812,-0.43518066,-0.33813477
128,0.61691284,-0.48019409,-0.52825928
129,0.56030273,-0.29891968,-0.39840698
130,0.5607605,-0.32196045,-0.30288696
131,0.49591064,-0.29342651,-0.40100098
132,0.38452148,-0.32119751,-0.48950195
133,0.51391602,-0.19256592,-0.16525269
134,0.28594971,-0.23223877,-0.3894043
135,0.43792725,-0.14892578,-0.30471802
136,0.26473999,-0.067901611,-0.22415161
