,a,b,c
0,1.2789917,-1.5014648,-5.0
1,1.277771,-1.2976074,-5.0
2,1.2684631,-1.240387,-5.0
3,1.2876892,-1.2213135,-3.8679504
4,1.2750244,-1.0923767,-2.9121399
5,1.3345337,-1.1329651,-2.3248291
6,1.1465454,-1.1051941,-1.9261169
7,1.2341309,-1.0314941,-1.6203308
8,1.1888123,-1.1871338,-1.4547729
9,1.1306763,-0.66497803,-1.3496399
10,1.2734985,-0.92712402,-1.1787415
11,1.2646484,-0.92514038,-1.0884094
12,1.2521362,-0.93109131,-1.0237122
13,1.1276245,-0.9034729,-0.98709106
14,1.2010193,-0.72921753,-0.90332031
15,1.1174011,-0.68878174,-0.83328247
16,1.1192322,-0.57662964,-0.73883057
17,1.1561584,-0.51712036,-0.64147949
18,1.0440063,-0.45455933,-0.5796814
19,0.99075317,-0.38604736,-0.52383423
20,0.93414307,-0.23239136,-0.42297363
21,0.887146,-0.20843506,-0.15853882
22,0.86074829,-0.2607727,-0.024871826
23,0.90789795,-0.24215698,-0.073394775
24,0.79071045,-0.20812988,-0.10986328
25,0.8114624,0.004730225,-0.062713623
26,0.44433594,0.008544922,-0.03692627
27,0.33462524,-0.26977539,-0.11520386
28,0.41870117,-0.11993408,-0.17303467
29,0.15426636,0.11199951,-0.05569458
30,0.57861328,0.27297974,0.053405762
31,0.4977417,0.46936035,0.17654419
32,0.44921875,0.39733887,0.24459839
33,0.43502808,0.28427124,0.24780273
34,0.44570923,0.49621582,0.33126831
35,0.32913208,0.50674438,0.38101196
36,0.21942139,0.55969238,0.44433594
37,0.26763916,0.57922363,0.48461914
38,0.20111084,0.61523438,0.5241394
39,0.24871826,0.64849853,0.58990478
40,0.19546509,0.82305908,0.70709228
41,-0.014343262,0.86502075,0.78643799
42,-0.059204102,0.86074829,0.83328247
43,-0.025177002,0.83190918,0.85205078
44,-0.11016846,0.92651367,0.90057373
45,-0.13092041,0.94741821,0.94650269
46,-0.19073486,0.98236084,0.9677124
47,-0.35415649,0.97930908,0.97366333
48,-0.51559448,1.0047913,0.97869873
49,-0.50247192,1.0525513,1.0165405
50,-0.43319702,1.114502,0.90332031
51,-0.55480957,1.0588074,0.97427368
52,-0.78613281,1.1738586,1.0169983
53,-0.76416016,1.0931396,1.0298157
54,-0.72097778,1.2084961,1.101532
55,-0.74890137,1.166687,1.1450195
56,-0.68496704,1.1933899,1.1740112
57,-0.77484131,1.1868286,1.1752319
58,-0.79589844,1.2228394,1.1990356
59,-0.92895508,1.3253784,1.2420654
60,-0.97976685,1.3948059,1.2857056
61,-1.055603,1.3253784,1.31073
62,-1.0243225,1.2918091,1.3470459
63,-1.1857605,1.34552,1.3365173
64,-1.1515808,1.2934875,1.3148499
65,-1.2239075,1.3122559,1.3037109
66,-1.2779236,1.328125,1.321106
67,-1.2913513,1.3330078,1.3209534
68,-1.5481567,0.71334839,1.126709
69,-1.4585876,1.242981,1.1495972
70,-1.5863037,1.1486816,1.151886
71,-1.473999,1.058197,1.1044312
72,-1.5028381,1.1474609,1.1250305
73,-1.5374756,1.108551,1.1074829
74,-1.5917969,1.1329651,1.1177063
75,-1.6296387,1.2492371,1.072998
76,-1.6046143,1.3195801,1.1065674
77,-1.6714478,1.3075256,1.1630249
78,-1.6409302,1.3227844,1.2187195
79,-1.7424011,1.1901855,1.2174988
80,-1.6867065,1.2919617,1.257019
81,-1.8132019,1.09375,1.2080383
82,-1.7831421,1.1360168,1.2014771
83,-1.8424988,1.0894775,1.1599731
84,-1.8013,1.0163879,1.1123657
85,-1.7866516,0.95611572,1.0702515
86,-1.8582153,0.94848633,1.0284424
87,-1.8431091,0.84625244,1.0154724
88,-1.9363403,0.87921143,1.1054993
89,-1.975708,0.83114624,1.0397339
90,-1.9865417,0.84136963,1.0122681
91,-1.9644165,0.77682495,0.91751099
92,-1.912384,0.76141357,0.88699341
93,-1.9885254,0.70922852,0.79574585
94,-1.9512939,0.56350708,0.71166992
95,-1.9821167,0.54473877,0.64331055
96,-2.0027161,0.65139771,0.61691284
97,-1.9502258,0.54397583,0.59967041
98,-2.0137024,0.49316406,0.54031372
99,-2.1002197,0.28915405,0.47180176
100,-1.9779968,0.29510498,0.4045105
101,-2.0198059,0.30014038,0.3755188
102,-2.1557617,0.2029419,0.33721924
103,-2.171936,0.19699097,0.26611328
104,-1.965332,0.073547363,0.14602661
105,-1.9966125,-0.01739502,0.11306763
106,-2.0227051,-0.071563721,0.070800781
107,-1.965332,-0.079345703,-0.000305176
108,-1.8969727,-0.19348145,-0.067901611
109,-1.9526672,-0.25497436,-0.14068603
110,-1.8574524,-0.43563843,-0.25665283
111,-1.9271851,-0.28060913,-0.27206421
112,-1.7649841,-0.44128418,-0.3453064
113,-1.9657898,-0.26794434,-0.31188965
114,-1.9013977,-0.45532227,-0.37139893
115,-1.9866943,-0.75775147,-0.63858032
116,-1.9462585,-0.74996948,-0.73959351
117,-1.9523621,-0.80993652,-0.77651978
118,-1.769104,-0.64819336,-0.73913574
119,-1.7674255,-0.82672119,-0.76309204
120,-1.8505859,-0.93902588,-0.82504272
121,-1.6415405,-1.0202026,-0.89797974
122,-1.8048096,-1.0443115,-0.98739624
123,-1.5686035,-0.97763062,-0.98968506
124,-1.4935303,-1.1805725,-1.0803223
125,-1.7590332,-1.2445068,-1.1738586
126,-1.5756226,-1.2966919,-1.2660217
127,-1.4195251,-1.2632751,-1.2957764
128,-1.4379883,-1.3186646,-1.3114929
129,-1.3461304,-1.3304138,-1.346283
130,-1.2854004,-1.3722229,-1.3783264
131,-1.374054,-1.4480591,-1.3825989
132,-1.2438965,-1.3056946,-1.4012146
133,-1.1663818,-1.3674927,-1.3946533
134,-1.159668,-1.5644836,-1.4512634
135,-1.0635376,-1.6114807,-1.5022278
136,-1.0316467,-1.713562,-1.5737915
137,-1.0241699,-1.5432739,-1.569519
138,-0.91064453,-1.6488647,-1.5794373
139,-0.89950562,-1.6270447,-1.5911865
140,-0.74295044,-1.7471313,-1.6629028
141,-0.69442749,-1.8099976,-1.7428589
142,-0.68740845,-1.8478394,-1.8380737
143,-0.56411743,-1.9403076,-1.8821716
144,-0.55618286,-1.9433594,-1.897583
145,-0.51757813,-1.9824219,-1.9140625
146,-0.44738769,-1.8502808,-1.8962097
147,-0.41976929,-1.9480896,-1.9174194
148,-0.32989502,-1.985321,-1.9447327
149,-0.33432007,-2.0570374,-1.9848633
150,-0.28823853,-2.0681763,-2.0198059
151,-0.262146,-2.1061707,-2.0606995
152,-0.14938355,-2.0805359,-2.0974731
153,-0.091552734,-2.1360779,-2.1511841
154,-0.013275146,-2.1620178,-1.933136
155,-0.012054443,-2.1583557,-1.9726563
156,0.092926025,-2.1141052,-2.0114136
157,0.084533691,-2.1615601,-2.0498657
158,0.072937012,-2.1772766,-2.0866394
159,0.16784668,-2.1502686,-2.1072388
160,0.22827148,-2.2149658,-2.124939
161,0.28213501,-2.2853088,-2.1618652
162,0.40527344,-2.1725464,-2.1417236
163,0.39916992,-2.2157288,-2.1585083
164,0.41717529,-2.2395325,-2.1690369
165,0.41397095,-2.149353,-2.1569824
166,0.54855347,-2.084198,-2.1203613
167,0.50369263,-2.0593262,-2.0980835
168,0.66116333,-2.142334,-2.1054077
169,0.55633545,-2.119751,-2.1142578
170,0.61462402,-1.9551086,-2.0462036
171,0.71990967,-1.9084167,-1.9883728
172,0.72402954,-2.0205688,-1.9950867
173,0.75866699,-2.0317078,-1.9815063
174,0.77606201,-2.010498,-2.003479
175,0.84075928,-2.1868896,-2.0417786
176,0.93215942,-2.1388245,-2.0544434
177,0.90896606,-2.1247864,-2.0726013
178,1.0519409,-2.0492554,-2.0523071
179,1.0044861,-1.9535828,-2.0193481
180,1.0031128,-1.9389343,-2.1548462
181,1.0635376,-1.8495178,-2.0582581
182,1.051178,-1.8359375,-1.9793701
183,1.1038208,-1.8572998,-1.9168091
184,1.0876465,-1.8484497,-1.8769836
185,1.0916138,-1.8492126,-1.8766785
186,1.1610413,-1.9793701,-1.9049072
187,1.1279297,-1.7886353,-1.7849731
188,1.0972595,-1.8728638,-1.7356873
189,1.100769,-1.789093,-1.7579651
190,1.0913086,-1.7483521,-1.7333984
191,1.1250305,-1.7018127,-1.6900635
192,1.2393188,-1.6795349,-1.6654968
193,1.2893677,-1.4535522,-1.5745544
194,1.2797546,-1.4273071,-1.5145874
195,1.255188,-1.4213562,-1.492157
196,1.2390137,-1.3859558,-1.4654541
