,a,b,c
0,-1.6612244,-0.284729,1.0527039
1,-1.7520142,-0.36575317,1.0836792
2,-1.7660522,-0.4624939,1.2480164
3,-1.7001343,-0.37750244,1.295166
4,-1.6210938,-0.35980225,1.0771179
5,-1.7221069,-0.3012085,1.1407471
6,-1.6390991,-0.38208008,1.2524414
7,-1.6133118,-0.46508789,1.1857605
8,-1.5927124,-0.54107666,1.2051392
9,-1.7167664,-0.39611816,1.15448
10,-1.4764404,-0.55877685,1.2265015
11,-1.6412354,-0.39230347,1.2898254
12,-1.5209961,-0.54321289,1.1616516
13,-1.5270996,-0.65383911,1.2942505
14,-1.4109802,-0.62789917,1.4260864
15,-1.4465332,-0.59875488,1.3304138
16,-1.3897705,-0.58410644,1.2887573
17,-1.4042664,-0.68130493,1.2733459
18,-1.4263916,-0.73181152,1.1482239
19,-1.5914917,-0.56655884,1.1254883
20,-1.3627625,-0.6362915,1.361084
21,-1.3909912,-0.68191528,1.3616943
22,-1.3121033,-0.63537598,1.4257813
23,-1.3212585,-0.6262207,1.4373779
24,-1.4590454,-0.5670166,1.2792969
25,-1.3154602,-0.8001709,1.2788391
26,-1.3970947,-0.78552246,1.5309143
27,-1.443634,-0.93780518,1.4941406
28,-1.4274597,-0.98251343,1.3850403
29,-1.2893677,-0.85128784,1.4346313
30,-1.3305664,-0.75759888,1.3777161
31,-1.2695313,-0.80459595,1.4515686
32,-1.2683105,-0.89401245,1.4599609
33,-1.2811279,-0.96618652,1.2791443
34,-1.139679,-0.92849731,1.3397217
35,-1.1216736,-1.1573791,1.5213013
36,-1.08078,-1.0165405,1.4849854
37,-1.1520386,-1.0241699,1.4172363
38,-1.1140442,-1.0365295,1.4627075
39,-1.1489868,-1.0073853,1.4646912
40,-1.0032654,-1.1645508,1.2565613
41,-1.1425781,-1.1959839,1.2504578
42,-1.0870361,-1.2147522,1.2944031
43,-0.96847534,-1.3519287,1.2467957
44,-1.0577393,-1.3890076,1.4883423
45,-0.9336853,-1.4378357,1.4465332
46,-0.86257935,-1.552887,1.2857056
47,-1.0391235,-1.5257263,1.3822937
48,-0.75378418,-1.3917541,1.4413452
49,-0.71853638,-1.5008545,1.3140869
50,-0.71395874,-1.3977051,1.4283752
51,-0.7736206,-1.4767456,1.2654114
52,-0.63949585,-1.3829041,1.4276123
53,-0.79406738,-1.449585,1.1308289
54,-0.70007324,-1.4439392,1.3807678
55,-0.66040039,-1.4079285,1.479187
56,-0.6954956,-1.3851929,1.3790894
57,-0.5557251,-1.2077332,1.3136291
58,-0.47653198,-1.1967468,1.2628174
59,-0.58761597,-1.1557007,1.3394165
60,-0.55419922,-1.1767578,1.3702393
61,-0.54138184,-1.2181091,1.3130188
62,-0.50750732,-1.328125,1.3027954
63,-0.50384522,-1.4660645,1.2541199
64,-0.39779663,-1.4247131,1.2113953
65,-0.38253784,-1.519165,1.2063599
66,-0.36010742,-1.5005493,1.2458801
67,-0.37200928,-1.499939,1.2527466
68,-0.35217285,-1.5385437,1.2145996
69,-0.32775879,-1.5316772,1.1187744
70,-0.27587891,-1.4570618,1.1502075
71,-0.20462036,-1.4920044,1.1398315
72,-0.13137817,-1.5112305,1.0725403
73,-0.19485474,-1.5237427,1.1036682
74,-0.17379761,-1.5621948,1.0421753
75,-0.17196655,-1.5945435,1.0426331
76,-0.1826477,-1.7329407,0.96725464
77,-0.12084961,-1.8045044,0.98480225
78,-0.12710571,-1.8457031,0.91751099
79,-0.15075684,-1.8414307,0.93597412
80,0.018615723,-1.6801453,0.98861694
81,-0.094909668,-1.7301941,1.0369873
82,-0.016021729,-1.6242981,0.84823608
83,0.001983643,-1.5934753,0.88867188
84,0.033721924,-1.6030884,0.90637207
85,0.041809082,-1.5609741,0.88302612
86,0.048828125,-1.6664124,0.90988159
87,0.074615479,-1.6938782,0.89538574
88,0.018463135,-1.7596436,0.98999023
89,0.19073486,-1.8899536,0.76065063
90,0.16906738,-1.7947388,0.88165283
91,0.34088135,-1.7939758,0.7043457
92,0.20629883,-1.608429,0.8241272
93,0.10253906,-1.698761,0.69137573
94,0.28396606,-1.7724609,0.68756103
