,a,b,c
0,-1.0276794,0.54443359,-0.3388977
1,-1.3015747,0.48614502,-0.19439697
2,-1.0574341,0.78521728,-0.18371582
3,-1.1193848,0.67871094,-0.16906738
4,-1.1474609,0.59082031,-0.21362305
5,-1.1668396,0.60974121,-0.17669678
6,-0.9753418,0.70877075,-0.17211914
7,-1.1917114,0.64910889,-0.14633179
8,-1.2358093,0.84274292,-0.12145996
9,-1.1380005,0.72097778,-0.2835083
10,-1.1282349,0.54824829,-0.11444092
11,-1.0427856,0.55633545,-0.077667236
12,-1.2095642,0.496521,-0.12954712
13,-1.2948608,0.64666748,-0.052337646
14,-1.1663818,0.67626953,-0.047912598
15,-1.2385559,0.74890137,0.097045898
16,-1.1987305,0.6564331,0.066986084
17,-1.2561035,0.55282593,0.074005127
18,-1.2715149,0.63964844,0.1008606
19,-1.3948059,0.6652832,0.15365601
20,-1.3427734,0.61019897,0.15838623
21,-1.2638855,0.65078735,0.16723633
22,-1.348114,0.74432373,0.13290405
23,-1.4222717,0.70587158,0.079498291
24,-1.343689,0.55099487,0.14648438
25,-1.3949585,0.54916382,0.38879394
26,-1.3418579,0.60150147,0.24124145
27,-1.4729309,0.46264648,0.37216186
28,-1.4144897,0.41091919,0.25390625
29,-1.4254761,0.53756714,0.35522461
30,-1.5481567,0.72662353,0.33203125
31,-1.5748596,0.55511475,0.21530151
32,-1.343689,0.65246582,0.1713562
33,-1.4221191,0.41519165,0.26809692
34,-1.4546204,0.50109863,0.32394409
35,-1.3406372,0.55541992,0.31738281
36,-1.3618469,0.44281006,0.50735474
37,-1.3887024,0.48324585,0.44845581
38,-1.4706421,0.59204102,0.36773682
39,-1.4331055,0.47958374,0.41168213
40,-1.4874268,0.48721314,0.52139282
41,-1.6401672,0.45669556,0.46981811
42,-1.5226746,0.47531128,0.52017212
43,-1.4830017,0.25360107,0.16021728
44,-1.4543152,0.27816772,0.28320313
45,-1.4170837,0.21850586,0.45883179
46,-1.6459656,0.1071167,0.33218384
47,-1.6386414,0.11428833,0.47622681
48,-1.5966797,0.23895264,0.53192139
49,-1.6339111,0.1550293,0.66986084
50,-1.615448,0.18981934,0.66040039
51,-1.5092468,0.12069702,0.56335449
52,-1.4945984,0.079650879,0.56503296
53,-1.4691162,0.084991455,0.59539795
54,-1.4706421,0.11291504,0.71365356
