,a,b,c
0,-1.5975952,1.0697937,-5.0
1,-1.7178345,1.0017395,-5.0
2,-1.7419434,1.0072327,-3.4983826
3,-1.7105103,0.89324951,-1.856842
4,-1.7425537,0.81253052,-0.98922729
5,-1.7773438,0.6729126,-0.43319702
6,-1.7454529,0.71594238,-0.048217773
7,-1.7829895,0.75302124,0.21026611
8,-1.9195557,0.7232666,0.38650513
9,-1.7974854,0.81115723,0.51315308
10,-1.8359375,0.66970825,0.5758667
11,-1.7993164,0.69412231,0.61386108
12,-1.9351196,0.65078735,0.59906006
13,-2.0222473,0.69229126,0.62149048
14,-1.9692993,0.54794312,0.57769775
15,-1.8711853,0.51513672,0.55358887
16,-1.9488525,0.48400879,0.52566528
17,-1.882019,0.36468506,0.49697876
18,-1.8925476,0.49926758,0.48049927
19,-2.0401001,0.37704468,0.43304443
20,-1.9181824,0.1940918,0.35873413
21,-2.0367432,0.24765015,0.25360107
22,-1.9792175,0.23086548,0.23300171
23,-1.9995117,0.021972656,0.097198486
24,-2.0930481,0.05859375,0.053100586
25,-2.0455933,0.1399231,0.12542725
26,-2.0452881,0.12023926,0.11871338
27,-2.0889282,0.11184692,0.099487305
28,-1.9892883,0.059814453,0.066223145
29,-1.9897461,-0.2015686,-0.014038086
30,-1.9345093,-0.072784424,-0.04776001
31,-1.8798828,-0.1953125,-0.092163086
32,-1.9847107,-0.21789551,-0.14404297
33,-1.7358398,-0.20767212,-0.15899658
34,-1.920166,-0.44525147,-0.27191162
35,-1.7434692,-0.33859253,-0.25863647
36,-1.8437195,-0.51055908,-0.34988403
37,-1.7327881,-0.41168213,-0.37582397
38,-1.7807007,-0.59143066,-0.47454834
39,-1.7207336,-0.72540283,-0.59997559
40,-1.7118835,-0.54794312,-0.72158813
41,-1.6375732,-0.68145752,-0.74707031
42,-1.6149902,-0.81573486,-0.77529907
43,-1.5208435,-0.79940796,-0.78918457
44,-1.5490723,-0.69946289,-0.7673645
45,-1.6424561,-0.90530396,-0.80886841
46,-1.5483093,-0.87875366,-0.83984375
47,-1.4581299,-0.83816528,-0.8505249
48,-1.6564941,-1.1541748,-0.93963623
49,-1.4572144,-0.96191406,-0.9312439
50,-1.4627075,-0.98617554,-0.96572876
51,-1.5324402,-1.0566711,-0.99227905
52,-1.5213013,-1.0418701,-0.99624634
53,-1.5472412,-1.2519836,-1.0690308
54,-1.5122986,-1.2316895,-1.1401367
55,-1.2791443,-1.194458,-1.1645508
56,-1.3719177,-1.3137817,-1.2258911
57,-1.3562012,-1.5164185,-1.2913513
58,-1.2315369,-1.4854431,-1.3786316
59,-1.144104,-1.4181519,-1.3630676
60,-1.1138916,-1.2106323,-1.2998962
61,-1.0293579,-1.2590027,-1.272583
62,-0.9677124,-1.3371277,-1.2962341
63,-1.0862732,-1.4234924,-1.3578796
64,-1.1407471,-1.5628052,-1.4498901
65,-0.95092773,-1.5551758,-1.4952087
66,-0.93765259,-1.6488647,-1.541748
67,-0.90545654,-1.6625977,-1.5858459
68,-0.79284668,-1.6908264,-1.6191101
69,-0.7774353,-1.6467285,-1.6300964
70,-0.71578979,-1.5826416,-1.6201782
71,-0.6703186,-1.6209412,-1.5971375
72,-0.6010437,-1.7132568,-1.6349792
73,-0.43151856,-1.7399597,-1.6572571
74,-0.47393799,-1.8351746,-1.7214966
75,-0.48934936,-1.8424988,-1.7424011
76,-0.46951294,-1.8247986,-1.5858459
77,-0.40313721,-1.7744446,-1.6976929
78,-0.49667358,-1.937561,-1.7842102
79,-0.39245606,-2.033844,-1.8650818
80,-0.28747559,-2.0378113,-1.9265747
81,-0.19775391,-2.1083069,-1.9894409
82,-0.28808594,-2.2390747,-2.048645
83,-0.30914307,-2.0864868,-2.0475769
84,-0.1763916,-2.0620728,-2.0307922
85,-0.074157715,-1.9798279,-2.0050049
86,0.024719238,-2.150116,-2.0504761
87,0.09979248,-2.1757507,-2.0664978
88,0.11489868,-2.1499634,-2.096405
89,0.14892578,-2.1162415,-2.0791626
90,0.17074585,-2.0678711,-2.0832825
91,0.25909424,-2.1112061,-2.043457
92,0.2204895,-1.9523621,-2.0169067
93,0.28198242,-1.9544983,-2.0005798
94,0.27084351,-2.0304871,-2.0028687
95,0.40084839,-2.0657349,-2.016449
96,0.37658691,-2.2105408,-2.0800781
97,0.4876709,-2.0629883,-2.0724487
98,0.443573,-2.0295715,-2.0536804
99,0.46127319,-2.0466614,-2.099762
100,0.55633545,-1.958313,-2.0474243
101,0.56060791,-1.95755,-2.0147705
102,0.59936523,-1.8424988,-1.945343
103,0.62011719,-1.7857361,-1.8630981
104,0.62255859,-1.822052,-1.7512512
105,0.70755005,-1.7863464,-1.7420959
106,0.64025879,-1.7831421,-1.7778015
107,0.64453125,-1.8751526,-1.8154907
108,0.74676514,-1.7808533,-1.8051147
109,0.76416016,-1.8229675,-1.8112183
110,0.77285767,-1.8714905,-1.8339539
111,0.84091187,-2.0483398,-1.9018555
112,0.9375,-2.0257568,-1.9178772
113,0.97717285,-1.9833374,-1.9558716
114,0.98495483,-1.9380188,-2.0755005
115,0.91796875,-1.9511414,-2.0350647
116,0.98770142,-1.8624878,-1.9522095
117,1.0021973,-1.7961121,-1.8768311
118,1.061554,-1.5975952,-1.7578125
119,0.93276978,-1.6056824,-1.7248535
120,1.0281372,-1.7422485,-1.7073059
121,1.1349487,-1.5867615,-1.6555786
122,1.1035156,-1.6345215,-1.6513062
123,1.1712646,-1.5040588,-1.5914917
124,1.1387634,-1.5242004,-1.5716553
125,1.0650635,-1.5380859,-1.5611267
126,1.1288452,-1.6314697,-1.5895081
127,1.0919189,-1.6212463,-1.6061401
128,1.2289429,-1.5008545,-1.5483093
129,1.1401367,-1.4781189,-1.5310669
130,1.2362671,-1.3859558,-1.4685059
131,1.1422729,-1.4501953,-1.4324951
132,1.159668,-1.3357544,-1.3728333
133,1.1476135,-1.3580322,-1.3589478
134,1.2094116,-1.2266541,-1.3082886
135,1.2458801,-1.2059021,-1.2719727
136,1.0437012,-1.0874939,-1.2054443
137,1.086731,-1.1592102,-1.184082
138,1.0380554,-1.0070801,-1.1209106
139,1.0606384,-0.90393066,-1.0432434
140,1.1657715,-0.83267212,-0.94818115
141,1.1781311,-0.79528809,-0.87631226
142,1.2081909,-0.71960449,-0.8190918
143,1.1355591,-0.67565918,-0.76553345
144,1.0696411,-0.78521728,-0.76248169
145,1.0945129,-0.73013306,-0.73974609
146,0.99502563,-0.70907593,-0.73532104
147,0.97686768,-0.64636231,-0.67108154
148,0.90377808,-0.5859375,-0.54397583
149,0.84915161,-0.47653198,-0.47424316
150,0.82443237,-0.44647217,-0.45532227
151,0.8392334,-0.47576904,-0.4486084
152,0.69091797,-0.27984619,-0.38406372
153,0.74798584,-0.29907227,-0.35614014
154,0.83877563,-0.21347046,-0.31768799
155,0.72494507,-0.16159058,-0.24902344
156,0.7345581,-0.27694702,-0.25497436
157,0.70510864,-0.3112793,-0.27053833
158,0.73699951,-0.22186279,-0.23101807
159,0.70556641,-0.034179688,-0.14297485
160,0.59005737,0.09552002,-0.067749023
161,0.58837891,0.080871582,-0.028686523
162,0.4145813,-0.023040771,-0.062255859
163,0.47515869,-0.37277222,-0.2154541
164,0.42068481,-0.29296875,-0.24963379
165,0.47805786,0.20339966,-0.084686279
166,0.51025391,0.16525269,0.000610352
167,0.44754028,0.25161743,0.085754395
168,0.33416748,0.40496826,0.23529053
169,0.13137817,0.29525757,0.2607727
170,0.27832031,0.41259766,0.35812378
171,0.27099609,0.54336548,0.44891357
172,0.037536621,0.55206299,0.46691894
173,0.3616333,0.50888062,0.5116272
174,0.17471313,0.5039978,0.51712036
175,0.10345459,0.53939819,0.53405762
176,0.009460449,0.45059204,0.52398682
177,0.11001587,0.45440674,0.49942017
178,-0.077209473,0.62835693,0.56640625
179,-0.075683594,0.70968628,0.61782837
180,-0.32989502,0.73577881,0.6552124
181,-0.21026611,0.80795288,0.71655273
182,-0.29296875,0.80108643,0.74005127
183,-0.24978638,0.81314087,0.76766968
184,-0.32409668,0.80383301,0.76873779
185,-0.51635742,0.7345581,0.77880859
186,-0.57861328,0.83496094,0.730896
187,-0.59005737,0.95169067,0.9085083
188,-0.52841187,1.0891724,0.6930542
189,-0.63217163,1.0302734,0.83084106
190,-0.69076538,1.0466003,0.91812134
191,-0.68603516,1.026001,0.96572876
192,-0.73669434,1.1120605,1.0227966
193,-0.69335938,1.1604309,1.0693359
194,-0.76171875,1.0507202,1.0713196
195,-0.8757019,1.036377,1.0580444
196,-0.7963562,1.1347961,1.0890198
197,-0.82687378,1.1273193,1.0830688
198,-0.92956543,1.2301636,1.104126
199,-0.90133667,1.1929321,1.1108398
200,-0.97320557,1.1317444,1.0952759
201,-0.96252441,1.1392212,1.09375
202,-1.0726929,1.1695862,1.1090088
203,-1.2591553,1.0133362,1.0644531
204,-1.3113403,0.78857422,0.94665527
205,-1.2115479,0.99411011,0.96664429
206,-1.1325073,1.2576294,1.0475159
207,-1.199646,1.2428284,1.1010742
208,-1.2475586,1.2515259,1.1364746
209,-1.2701416,1.1680603,1.1395264
210,-1.3601685,1.0700989,1.1068726
211,-1.4440918,1.0058594,1.061554
212,-1.4349365,1.0249329,1.0449219
213,-1.5040588,1.0409546,1.0375977
214,-1.5267944,1.0752869,1.0455322
