,a,b,c
0,-1.7172241,-0.46676636,-5.0
1,-1.5609741,-0.48065186,-5.0
2,-1.6311646,-0.59371948,-4.4630432
3,-1.4990234,-0.66314697,-3.2092285
4,-1.6629028,-0.67230225,-2.3745728
5,-1.685791,-0.69046021,-1.9493103
6,-1.434021,-0.66268921,-1.5403748
7,-1.5634155,-0.72021484,-1.2527466
8,-1.452179,-0.8732605,-1.1405945
9,-1.3943481,-1.0055542,-1.1247253
10,-1.446991,-1.0180664,-1.0870361
11,-1.3623047,-0.93109131,-1.0192871
12,-1.2467957,-0.91506958,-0.98022461
13,-1.3452148,-1.0244751,-1.0372925
14,-1.2255859,-1.073761,-1.0543823
15,-1.1895752,-1.181488,-1.1032104
16,-1.1636353,-1.0908508,-1.1294556
17,-1.1135864,-1.1199951,-1.1408997
18,-1.1047363,-1.2437439,-1.178894
19,-1.1485291,-1.2882996,-1.2142944
20,-1.1140442,-1.2188721,-1.2272644
21,-1.1184692,-1.3777161,-1.2615967
22,-1.1169434,-1.4033508,-1.3397217
23,-1.0987854,-1.3806152,-1.3835144
24,-1.0882568,-1.4498901,-1.415863
25,-0.95581055,-1.4169312,-1.4498901
26,-0.96466065,-1.401062,-1.5182495
27,-0.86181641,-1.4775085,-1.5093994
28,-0.79818726,-1.4273071,-1.4788818
29,-0.86761475,-1.522522,-1.5112305
30,-0.87722778,-1.6184998,-1.5534973
31,-0.7925415,-1.6915894,-1.6247559
32,-0.76263428,-1.7497253,-1.6705322
33,-0.71517944,-1.7041016,-1.789093
34,-0.73226929,-1.783905,-1.6821289
35,-0.64941406,-1.7167664,-1.6455078
36,-0.4814148,-1.6636658,-1.6474915
37,-0.52963257,-1.8302917,-1.7192078
38,-0.49438477,-1.7626953,-1.7463684
39,-0.49468994,-1.9192505,-1.8118286
40,-0.493927,-1.9520569,-1.8592834
41,-0.43060303,-1.8261719,-1.8560791
42,-0.41381836,-1.92276,-1.8893433
43,-0.32592773,-1.8438721,-1.8730164
44,-0.34469605,-1.9165039,-1.8986511
45,-0.19577026,-1.8809509,-1.8896484
46,-0.26977539,-2.0237732,-1.9497681
47,-0.16525269,-1.9572449,-1.9534302
48,-0.22918701,-2.1066284,-2.0147705
49,-0.14846802,-2.0251465,-2.0230103
50,-0.12145996,-2.0376587,-2.0349121
51,0.046691895,-1.8789673,-1.9750977
52,-0.077056885,-2.0016479,-2.0002747
53,0.023651123,-1.9696045,-1.9921875
54,-0.014953613,-2.024231,-2.0277405
55,0.079803467,-2.0417786,-2.0513916
56,0.12176514,-2.0233154,-2.0632935
57,0.1512146,-2.0367432,-2.0756531
58,0.12115479,-2.15271,-2.1220398
59,0.25390625,-2.0162964,-2.1109009
60,0.31478882,-1.9810486,-2.0747375
61,0.30975342,-1.9775391,-2.0663452
62,0.30685425,-2.0614624,-2.0852661
63,0.35675049,-2.0391846,-2.0733643
64,0.33432007,-2.0812988,-2.0729065
65,0.35232544,-1.999054,-2.0552063
66,0.4019165,-1.9792175,-2.0359802
67,0.53756714,-1.9618225,-2.0118713
68,0.50598144,-2.0610046,-2.019043
69,0.58776856,-2.0547485,-2.0179749
70,0.63690185,-2.1087646,-2.0419312
71,0.71655273,-2.1200562,-2.0573425
72,0.64666748,-2.114563,-2.0840454
73,0.58120728,-2.1212769,-2.1043396
74,0.6716919,-2.0129395,-2.0588684
75,0.66650391,-1.8751526,-1.9842529
76,0.6954956,-1.9342041,-1.9528198
77,0.75637817,-1.8476868,-1.9154358
78,0.74462891,-1.7718506,-1.920929
79,0.8052063,-1.7042541,-1.8463135
80,0.80581665,-1.7329407,-1.8495178
81,0.8908081,-1.6967773,-1.7652893
82,0.81985474,-1.6296387,-1.8380737
83,0.74127197,-1.6708374,-1.7935181
84,0.91583252,-1.6699219,-1.8423462
85,0.94818115,-1.6748047,-1.764679
86,0.87493897,-1.7337036,-1.8666077
87,0.8013916,-1.7694092,-1.8847656
88,0.86959839,-1.6470337,-1.7887878
89,0.88653565,-1.599884,-1.7245483
90,0.94390869,-1.5298462,-1.6651916
91,0.97122192,-1.5394592,-1.6345215
92,1.0128784,-1.529541,-1.6047668
93,0.97549438,-1.5800476,-1.6175842
94,0.97473144,-1.4793396,-1.5910339
95,0.9828186,-1.5029907,-1.5792847
96,1.0340881,-1.5466309,-1.5591431
97,0.9967041,-1.5982056,-1.5769959
98,1.0336304,-1.5075684,-1.5577698
99,1.0571289,-1.4268494,-1.505127
100,1.0723877,-1.3032532,-1.44104
101,1.1102295,-1.2677002,-1.3623047
102,0.98907471,-1.230011,-1.3041687
103,1.0003662,-1.1630249,-1.2695313
104,0.87615967,-1.2782288,-1.257782
105,0.94543457,-1.2759399,-1.2744141
106,1.0333252,-1.2277222,-1.2521362
107,0.83877563,-1.1959839,-1.2495422
108,0.95977783,-1.1579895,-1.2095642
109,0.94665527,-1.0293579,-1.0873413
110,0.98144531,-1.0247803,-1.0076904
111,1.0029602,-0.86196899,-0.95886231
112,0.94451904,-0.81130981,-0.9147644
113,0.96481323,-0.82519531,-0.91674805
114,0.99533081,-0.85754394,-0.91384888
115,0.96984863,-0.80123901,-0.87966919
116,0.93292236,-0.77880859,-0.8126831
117,0.99761963,-0.72174072,-0.76599121
118,0.84533691,-0.7019043,-0.63568115
119,0.887146,-0.63339233,-0.60729981
120,0.84106445,-0.63186646,-0.59432983
121,0.85906982,-0.50598144,-0.54595947
122,0.83572388,-0.52764893,-0.53237915
123,0.94711304,-0.43182373,-0.47714233
124,0.90408325,-0.41793823,-0.45730591
125,0.84884644,-0.44799805,-0.4460144
126,0.87783813,-0.32806397,-0.4536438
127,0.72753906,-0.25909424,-0.39123535
128,0.70510864,-0.24032593,-0.45272827
129,0.74325562,-0.23880005,-0.36773682
130,0.63110352,-0.31448364,-0.34240723
131,0.66299438,-0.27633667,-0.31982422
132,0.54397583,-0.26641846,-0.30502319
133,0.52749634,-0.16418457,-0.23666382
134,0.5557251,-0.024719238,-0.14724731
135,0.44677734,-0.086517334,-0.13427734
136,0.46569824,-0.009155273,-0.09475708
137,0.047607422,-0.16586304,-0.14572144
138,0.24246216,-0.23574829,-0.2041626
139,0.13290405,-0.48095703,-0.36254883
140,-0.14266968,-0.15869141,-0.28503418
141,0.3515625,0.12802124,-0.15228272
142,0.20141602,0.09552002,-0.068359375
143,0.19927978,0.22262573,0.03326416
144,0.24414063,0.29327393,0.11779785
145,-0.01953125,0.29052734,0.16876221
146,0.12451172,0.35766602,0.22125244
147,-0.091552734,0.38665772,0.27236939
148,0.17364502,0.52032471,0.36575317
149,-0.063476563,0.44891357,0.44677734
150,0.032196045,0.50170898,0.44952393
151,-0.27114868,0.50415039,0.43670654
152,-0.10131836,0.36010742,0.74386597
153,-0.2835083,0.33630371,1.0731506
154,-0.18966675,1.0125732,1.3661194
155,-0.27038574,0.52642822,1.5405273
156,-0.19363403,1.2612915,1.6766357
157,-0.27481079,1.8203735,1.5493774
158,-0.2923584,1.8321228,1.2181091
159,-0.3112793,1.9134521,1.1628723
160,-0.31784058,1.6369629,0.90011597
161,-0.43960571,1.2356567,0.77072144
162,-0.53207397,1.7880249,0.70251465
163,-0.51055908,1.1157227,0.64071655
164,-0.51849365,2.0610046,0.64788818
165,-0.61935425,1.31073,0.64102173
