,a,b,c
0,0.64544678,0.19226074,-1.4009094
1,0.65338135,0.007476807,-1.3549805
2,0.46661377,0.22460938,-1.2414551
3,0.57189941,0.14846802,-1.2207031
4,0.45639038,0.21072388,-1.3685608
5,0.51300049,0.3326416,-1.4268494
6,0.25268555,0.26626587,-1.3665771
7,0.29266357,0.43762207,-1.3038635
8,0.32806397,0.5708313,-1.2580872
9,0.14831543,0.5821228,-1.3186646
10,0.24032593,0.55496216,-1.2599182
11,0.15792847,0.63598633,-1.4099121
12,-0.045623779,0.7194519,-1.2580872
13,0.02166748,0.82855225,-1.3420105
14,-0.022583008,0.78826904,-1.3305664
15,-0.079803467,0.89035034,-1.25
16,-0.27069092,0.79666138,-1.2844849
17,-0.16464233,0.76507568,-1.2063599
18,-0.37384033,0.90759277,-1.0406494
19,-0.31967163,0.96542358,-0.99533081
20,-0.35339356,1.0540771,-1.0313416
21,-0.51239014,0.97564697,-1.0189819
22,-0.58792114,1.2487793,-0.87753296
23,-0.65063477,0.97625732,-0.83770752
24,-0.67993164,1.2348938,-0.83908081
25,-0.70968628,1.0644531,-0.85891724
26,-0.69030762,1.1816406,-0.6552124
27,-0.98220825,1.2750244,-0.8303833
28,-0.84396362,1.1828613,-0.62683106
29,-1.0641479,1.2905884,-0.68725586
30,-0.92483521,1.3087463,-0.63156128
31,-1.0675049,1.335907,-0.55953979
32,-1.1637878,1.3302612,-0.46127319
33,-1.3250732,1.3839722,-0.35461426
34,-1.2870789,1.3423157,-0.2482605
35,-1.4398193,1.3194275,-0.19821167
36,-1.4379883,1.2492371,-0.24887085
37,-1.4164734,1.1608887,-0.1133728
38,-1.4266968,1.2278748,0.053405762
39,-1.4605713,1.151123,-0.12207031
40,-2.1334839,0.95336914,-0.14312744
41,-1.7176819,1.2319946,-0.22415161
42,-1.7340088,1.277771,0.006713867
43,-1.8554688,0.97991943,0.045776367
44,-1.7330933,1.2745666,0.128479
45,-1.6897583,1.1627197,0.30410767
46,-1.7990112,0.94390869,0.12649536
47,-1.8319702,1.95755,0.29052734
48,-1.8637085,1.0757446,0.23849487
49,-1.8319702,1.1566162,0.4208374
50,-1.8803406,0.97381592,0.26885986
51,-1.8841553,0.90148926,0.41015625
52,-1.9636536,0.98876953,0.17974853
53,-1.865387,1.0694885,0.51269531
54,-2.0295715,1.0284424,0.66833496
55,-2.1315002,1.1061096,0.67657471
56,-2.2084045,0.92071533,0.57174683
57,-2.0744324,0.82382202,0.80932617
58,-2.1105957,0.76416016,0.89691162
59,-2.1661377,0.72418213,0.9463501
60,-2.2084045,0.73013306,0.89935303
61,-2.2335815,0.55541992,1.000061
62,-2.243042,0.59921265,1.0533142
63,-2.3208618,0.42495728,1.0163879
64,-2.1626282,0.43533325,1.1419678
65,-2.1618652,0.26199341,1.2165833
66,-2.1264648,0.26504517,1.3096619
67,-2.2796631,0.020751953,1.3925171
68,-2.1949768,0.12130737,1.3800049
69,-2.0956421,0.25222778,1.3504028
70,-1.958313,0.031890869,1.522522
71,-2.0690918,-0.077514648,1.4331055
72,-2.0051575,0.018920898,1.3996887
73,-2.0030212,-0.26046753,1.6319275
74,-2.1003723,-0.31890869,1.6017151
75,-2.0820618,-0.18310547,1.723938
76,-2.0285034,-0.27359009,1.6213989
77,-2.0603943,-0.40435791,1.7285156
78,-2.0587158,-0.4296875,1.743927
79,-1.9369507,-0.3527832,1.8095398
80,-1.9158936,-0.43518066,1.7510986
81,-1.7564392,-0.48339844,1.8000793
82,-1.8695068,-0.62210083,1.8011475
83,-1.7211914,-0.64743042,1.6773987
84,-1.7991638,-0.6539917,1.8829346
85,-1.7242432,-0.81451416,1.8136597
86,-1.6307068,-0.95809937,1.9113159
87,-1.696167,-0.95657349,1.9958496
88,-1.700592,-1.0397339,2.1424866
89,-1.7506409,-1.1558533,2.0730591
90,-1.5951538,-1.1804199,1.9508362
91,-1.5509033,-1.2721252,1.8684387
92,-1.4543152,-1.259613,1.9050598
93,-1.4221191,-1.4253235,1.8655396
94,-1.3787842,-1.5637207,2.1078491
95,-1.308136,-1.6035461,1.9190979
96,-1.3110352,-1.39328,1.9584656
97,-1.2792969,-1.5597534,1.9789124
98,-1.3092041,-1.6789246,1.8600464
99,-1.1141968,-1.809082,1.9319153
100,-1.0057068,-1.7791748,1.8838501
101,-0.94406128,-1.7852783,1.8295288
102,-0.91369629,-1.7533875,1.9195557
103,-0.91094971,-1.756897,1.9378662
104,-0.95397949,-1.9500732,2.0271301
105,-0.85540772,-2.1426392,2.0950317
106,-0.76980591,-2.2573853,1.9335938
107,-0.71090698,-2.1166992,2.0898438
108,-0.66192627,-1.9419861,2.0922852
109,-0.55236816,-1.9828796,2.0275879
110,-0.52658081,-2.1080017,2.0352173
111,-0.41732788,-2.1342468,1.9532776
112,-0.45104981,-2.0770264,1.918335
113,-0.44815064,-2.2261047,1.9831848
114,-0.31524658,-2.2193909,1.9093323
115,-0.11566162,-2.2740173,1.721344
116,-0.1248169,-2.2640991,1.7266846
117,0.027008057,-2.2463989,1.7250061
118,0.05859375,-2.3716736,1.6719055
119,0.1486206,-2.3817444,1.6809082
120,0.13778687,-2.3957825,1.3674927
121,0.27816772,-2.4093628,1.4352417
122,0.24963379,-2.4435425,1.288147
123,0.45806885,-2.3789978,1.3261414
124,0.41931152,-2.2875977,1.2785339
125,0.42037964,-2.2662354,1.2350464
126,0.43426514,-2.3495483,1.1251831
127,0.49224853,-2.3034668,1.0873413
128,0.61660767,-2.2720337,0.98724365
129,0.66299438,-2.3391724,0.93444824
130,0.73867798,-2.3332214,0.89660644
131,0.77056885,-2.3933411,0.93994141
132,0.86685181,-2.2151184,0.84594727
133,0.86746216,-2.335968,0.76873779
134,0.85220337,-2.3136902,0.69839478
135,0.912323,-2.3423767,0.58486938
136,1.0177612,-2.3181152,0.42007446
137,1.0614014,-2.3060608,0.40039063
138,1.1193848,-2.1777344,0.42495728
139,1.0960388,-2.1206665,0.35583496
140,1.0580444,-2.2622681,0.38375855
141,1.2176514,-2.1913147,0.13381958
142,1.2425232,-2.0556641,0.25772095
143,1.2435913,-1.9288635,0.009765625
144,1.1709595,-1.9621277,-0.080718994
145,1.3726807,-1.8829346,-0.036773682
146,1.3383484,-2.0405579,-0.005645752
147,1.21521,-1.9590759,-0.1322937
148,0.98114014,-1.9352722,-0.18280029
149,1.2814331,-1.9476318,-0.38085938
150,1.3494873,-1.809082,-0.25939941
151,1.3220215,-1.816864,-0.45623779
152,1.2718201,-1.6267395,-0.46585083
153,1.3911438,-1.6424561,-0.43563843
154,1.2387085,-1.6421509,-0.43441772
155,1.2918091,-1.529541,-0.59936523
156,1.222229,-1.4407349,-0.69564819
157,1.3131714,-1.3986206,-0.69335938
158,1.3365173,-1.3249207,-0.64727783
159,1.2857056,-1.3842773,-0.70297241
160,1.2275696,-1.3745117,-0.93032837
161,1.1965942,-1.1888123,-0.84274292
162,1.1369324,-1.2872314,-0.94345093
163,1.0070801,-1.1836243,-0.91873169
164,1.1408997,-1.0473633,-0.93460083
165,1.1210632,-1.1054993,-0.99136353
166,1.156311,-0.97351074,-0.97717285
167,1.1421204,0.21179199,-1.0682678
168,1.1479187,-0.68145752,-1.0270691
169,1.169281,-0.56167603,-1.1825562
170,1.1199951,-0.64270019,-1.197052
171,1.098175,-0.46569824,-1.0949707
172,1.0888672,-0.50476074,-1.2969971
173,0.98739624,-0.3163147,-1.2026978
174,1.0798645,-0.29037476,-1.2176514
175,0.96389771,-0.31326294,-1.2994385
176,0.96679688,-0.14785767,-1.4942932
177,0.76019287,-0.13809204,-1.209259
178,0.80032349,-0.049133301,-1.2353516
179,0.84686279,0.13916016,-1.295166
180,0.11535645,0.11047363,-1.1485291
181,0.67153931,0.19424438,-1.3121033
182,0.70877075,0.15777588,-1.424408
183,0.58624268,0.27099609,-1.3937378
184,0.3817749,0.40771484,-1.4215088
185,0.53344727,0.41931152,-1.484375
186,0.56365967,0.51757813,-1.3635254
187,0.36193848,0.64834595,-1.3757324
188,0.35461426,0.51391602,-1.3305664
189,0.32058716,0.57128906,-1.3500977
190,0.23254395,0.67443848,-1.2129211
191,0.097045898,0.5619812,-1.4216614
192,-0.068359375,0.7736206,-1.386261
193,0.051269531,0.88592529,-1.4100647
194,-0.1121521,1.0075378,-1.3581848
195,-0.22262573,1.182251,-1.4480591
196,-0.36026001,1.2281799,-1.309967
197,-0.32485962,1.2156677,-1.2400818
198,-0.34744263,1.2298584,-1.360321
199,-0.54397583,1.39328,-1.1309814
200,-0.58578491,1.3179016,-1.1206055
201,-0.63293457,1.3296509,-1.1244202
202,-0.66192627,1.1625671,-1.1515808
203,-0.75653076,1.2384033,-0.9727478
204,-0.728302,1.204834,-1.0417175
205,-0.72311401,1.4347839,-1.0372925
206,-0.79833984,1.3780212,-0.91430664
207,-0.81604004,1.1921692,-0.93917847
208,-1.0508728,1.4491272,-0.93933106
209,-0.82641602,1.3517761,-0.76660156
210,-1.0969543,1.4190674,-0.66772461
211,-1.2445068,1.4224243,-0.68450928
212,-1.3021851,1.3793945,-0.76934815
213,-1.2231445,1.305542,-0.59875488
214,-1.2721252,1.3352966,-0.58120728
215,-1.2689209,1.4317322,-0.54199219
216,-1.4179993,1.2976074,-0.42373657
217,-1.4422607,1.3421631,-0.52352905
218,-1.4717102,1.1317444,-0.37200928
219,-1.6415405,1.3166809,-0.29907227
220,-1.6607666,1.1999512,-0.27191162
221,-1.678009,1.4379883,-0.082092285
222,-1.8273926,1.3771057,0.007781982
223,-1.8414307,1.4813232,-0.12695313
224,-1.6992188,1.3459778,0.038146973
225,-1.8530273,0.98876953,0.36010742
226,-1.8371582,0.92193603,0.33172607
227,-1.9859314,2.4285889,0.27297974
228,-1.9866943,1.2886047,0.45639038
229,-2.0565796,1.1273193,0.4045105
230,-1.9737244,1.1509705,0.34667969
231,-2.0236206,1.0957336,0.58166504
232,-1.9543457,1.0986328,0.7019043
233,-2.1282959,1.0438538,0.53619385
234,-2.0550537,1.0331726,0.69946289
235,-2.1398926,0.96755981,0.80261231
236,-2.0857239,0.93688965,0.60073853
237,-2.1379089,0.80535889,0.93841553
238,-2.0552063,0.74462891,1.0748291
239,-2.0481873,0.65505981,0.96664429
240,-2.164917,0.74615478,1.0089111
241,-2.1975708,0.67367554,0.98907471
242,-2.0956421,0.63842773,0.99029541
243,-2.1316528,0.69152832,0.90133667
244,-2.2915649,0.42816162,1.2602234
245,-2.1810913,0.43441772,1.1813354
246,-2.1412659,0.40130615,1.2355041
247,-2.1968079,0.3036499,1.3221741
248,-2.1386719,0.27008057,1.3319397
249,-2.0304871,0.14343262,1.1703491
250,-2.0401001,0.13854981,1.2519836
251,-2.0005798,-0.015869141,1.3819885
252,-1.8876648,-0.043029785,1.4199829
253,-1.9978333,-0.10345459,1.5844727
254,-2.0935059,-0.26901245,1.5023804
255,-2.0193481,-0.17425537,1.5841675
256,-1.9877625,-0.27053833,1.5245056
257,-1.980896,-0.28396606,1.6313171
258,-1.9400024,-0.57174683,1.5898132
259,-2.0454407,-0.64407349,1.7263794
260,-2.0085144,-0.44830322,1.7918396
261,-1.8440247,-0.6741333,1.9262695
262,-1.930542,-0.80261231,1.8127441
263,-1.6801453,-0.74493408,1.8859863
264,-1.7462158,-0.96633911,1.8367004
265,-1.914978,-0.92636108,1.8609619
266,-1.7767334,-0.97702026,1.9802856
267,-1.7605591,-0.84518433,1.5968323
268,-1.6941834,-1.053009,2.0785522
269,-1.7350769,-1.1499023,2.0953369
270,-1.6030884,-1.1868286,1.9898987
271,-1.5093994,-1.2414551,1.9985962
272,-1.5612793,-1.4016724,1.9386291
273,-1.5010071,-1.2976074,1.8841553
274,-1.4356995,-1.3980103,1.6976929
275,-1.3592529,-1.5148926,1.8797302
276,-1.2756348,-1.7355347,2.0666504
277,-1.1927795,-1.759491,1.9720459
278,-1.2001038,-1.5896606,1.8930054
279,-1.1303711,-1.8530273,1.8927002
280,-0.96435547,-1.8389893,1.9602966
281,-0.8505249,-1.8721008,1.9018555
282,-0.84854126,-1.7854309,1.9309998
283,-0.66116333,-1.8223572,2.0544434
284,-0.62332153,-1.776123,1.9734192
285,-0.72174072,-1.8473816,2.0675659
286,-0.64697266,-2.0062256,1.9290161
287,-0.4826355,-2.1305847,1.9487
288,-0.46081543,-2.0491028,1.8838501
289,-0.45501709,-2.175293,1.7922974
290,-0.38864136,-1.9985962,1.7700195
291,-0.36849976,-2.1792603,1.8786621
292,-0.1689148,-2.2996521,1.6859436
293,-0.19943237,-2.2949219,1.5364075
294,-0.005340576,-2.2346497,1.6687012
295,-0.14648438,-2.2709656,1.6299438
296,-0.056762695,-2.4931335,1.5835571
297,0.078430176,-2.4108887,1.4839172
298,0.087280273,-2.4478149,1.4761353
299,0.20004273,-2.4757385,1.3548279
300,0.14907837,-2.4926758,1.3684082
301,0.33584595,-2.4291992,1.2715149
302,0.26489258,-2.3660278,1.2832642
303,0.35873413,-2.414856,1.1071777
304,0.4951477,-2.3017883,0.97991943
305,0.48095703,-2.2372437,0.95504761
306,0.42312622,-2.3257446,1.0289001
307,0.55664063,-2.1572876,0.90637207
308,0.59844971,-2.3580933,0.87707519
309,0.60623169,-2.1974182,0.80780029
310,0.72784424,-2.2712708,0.69854736
311,0.73684692,-2.2619629,0.62179565
312,0.80001831,-2.207489,0.60943603
313,0.69091797,-2.3316956,0.5632019
314,0.85739136,-2.2872925,0.47485352
315,0.91278076,-2.166748,0.390625
316,0.83068848,-1.9450378,0.43045044
317,0.94894409,-2.1911621,0.2255249
318,1.1532593,-2.0626831,0.28167725
319,0.96557617,-2.2026062,0.34286499
320,1.0163879,-2.043457,0.19470215
321,0.94024658,-2.0535278,-0.016326904
322,1.1735535,-2.0030212,0.10528565
323,1.1454773,-1.9242859,-0.082397461
324,1.1149597,-1.9299316,-0.039978027
325,1.2507629,-1.8713379,-0.15838623
326,1.1500549,-1.7340088,-0.24810791
327,1.2588501,-1.7848206,-0.31860352
328,1.1872864,-1.7785645,-0.43273926
329,1.3323975,-1.8196106,-0.38085938
330,1.3087463,-1.8029785,-0.34820557
331,1.1993408,-1.6749573,-0.4737854
332,1.350708,-1.6462708,-0.43136597
333,1.3137817,-1.7056274,-0.47515869
334,1.2738037,-1.5336609,-0.43334961
335,1.2799072,-1.3963318,-0.65155029
336,1.4068604,-1.3302612,-0.65322876
337,1.2016296,-1.2878418,-0.63079834
338,1.2373352,-1.3110352,-0.64300537
339,1.1460876,-1.197052,-0.83740234
340,1.0958862,-1.2243652,-0.97946167
341,1.0444641,-1.1569214,-0.9689331
342,0.91262817,-1.1087036,-0.84594727
343,1.2269592,-1.0487366,-1.137085
344,1.0844421,-1.0910034,-0.90789795
345,1.0531616,-0.83374023,-0.98709106
346,1.1193848,-0.87524414,-0.9765625
347,1.1149597,0.48217773,-1.0061646
348,1.0739136,-0.53329468,-1.1598206
349,1.0704041,-0.49484253,-1.2411499
350,0.92422485,-0.50735474,-1.0722351
351,0.91766357,-0.43624878,-1.0929871
352,0.85662842,-0.42663574,-1.1201477
353,0.89782715,-0.37521362,-1.2298584
354,0.86883545,-0.31173706,-1.2490845
355,0.81604004,-0.12084961,-1.3423157
356,0.78781128,-0.074005127,-1.257019
357,0.17074585,-0.71533203,-1.7724609
